19 104
2 6 12
16 19 96
4 18 72
10 11 6
1 3 3
13 16 0
6 17 102
15 17 47
4 7 77
2 14 28
10 16 103
4 11 44
8 10 80
12 13 52
10 17 66
10 19 86
5 11 55
2 13 26
7 12 84
5 8 26
5 14 70
9 19 97
1 14 14
6 9 45
2 7 14
4 9 36
9 16 40
4 17 68
1 17 17
14 15 2
9 10 90
2 16 32
3 17 51
6 15 84
3 11 45
1 9 9
3 19 11
6 8 48
5 15 58
7 15 95
2 8 16
11 14 7
7 10 101
7 9 63
7 17 15
17 18 47
7 16 8
1 5 5
2 11 97
12 19 101
6 18 4
6 7 42
3 13 39
8 13 0
11 17 83
5 18 90
12 18 70
10 12 16
5 12 9
15 18 62
3 10 30
2 3 6
4 15 60
8 17 43
9 12 35
1 13 13
13 15 9
12 16 88
7 19 29
2 15 30
5 13 38
3 6 18
8 14 8
9 18 58
14 18 44
5 19 95
10 14 90
2 12 24
6 12 7
3 12 36
9 14 22
2 5 10
1 6 103
4 12 48
8 15 16
