256 252
1 2 2
1 3 3
1 4 4
1 5 5
1 6 6
1 7 7
1 8 8
1 9 9
1 10 10
1 11 11
1 12 12
1 13 13
1 14 14
1 15 15
1 16 16
1 17 17
1 18 18
1 19 19
1 20 20
1 21 21
1 22 22
1 23 23
1 24 24
1 25 25
1 26 26
1 27 27
1 28 28
1 29 29
1 30 30
1 31 31
1 32 32
1 33 33
1 34 34
1 35 35
1 36 36
1 37 37
1 38 38
1 39 39
1 40 40
1 41 41
1 42 42
1 43 43
1 44 44
1 45 45
1 46 46
1 47 47
1 48 48
1 49 49
1 50 50
1 51 51
1 52 52
1 53 53
1 54 54
1 55 55
1 56 56
1 57 57
1 58 58
1 59 59
1 60 60
1 61 61
1 62 62
1 63 63
1 64 64
1 65 65
1 66 66
1 67 67
1 68 68
1 69 69
1 70 70
1 71 71
1 72 72
1 73 73
1 74 74
1 75 75
1 76 76
1 77 77
1 78 78
1 79 79
1 80 80
1 81 81
1 82 82
1 83 83
1 84 84
1 85 85
1 86 86
1 87 87
1 88 88
1 89 89
1 90 90
1 91 91
1 92 92
1 93 93
1 94 94
1 95 95
1 96 96
1 97 97
1 98 98
1 99 99
1 100 100
1 101 101
1 102 102
1 103 103
1 104 104
1 105 105
1 106 106
1 107 107
1 108 108
1 109 109
1 110 110
1 111 111
1 112 112
1 113 113
1 114 114
1 115 115
1 116 116
1 117 117
1 118 118
1 119 119
1 120 120
1 121 121
1 122 122
1 123 123
1 124 124
1 125 125
1 126 126
1 127 127
1 128 128
1 129 129
1 130 130
1 131 131
1 132 132
1 133 133
1 134 134
1 135 135
1 136 136
1 137 137
1 138 138
1 139 139
1 140 140
1 141 141
1 142 142
1 143 143
1 144 144
1 145 145
1 146 146
1 147 147
1 148 148
1 149 149
1 150 150
1 151 151
1 152 152
1 153 153
1 154 154
1 155 155
1 156 156
1 157 157
1 158 158
1 159 159
1 160 160
1 161 161
1 162 162
1 163 163
1 164 164
1 165 165
1 166 166
1 167 167
1 168 168
1 169 169
1 170 170
1 171 171
1 172 172
1 173 173
1 174 174
1 175 175
1 176 176
1 177 177
1 178 178
1 179 179
1 180 180
1 181 181
1 182 182
1 183 183
1 184 184
1 185 185
1 186 186
1 187 187
1 188 188
1 189 189
1 190 190
1 191 191
1 192 192
1 193 193
1 194 194
1 195 195
1 196 196
1 197 197
1 198 198
1 199 199
1 200 200
1 201 201
1 202 202
1 203 203
1 204 204
1 205 205
1 206 206
1 207 207
1 208 208
1 209 209
1 210 210
1 211 211
1 212 212
1 213 213
1 214 214
1 215 215
1 216 216
1 217 217
1 218 218
1 219 219
1 220 220
1 221 221
1 222 222
1 223 223
1 224 224
1 225 225
1 226 226
1 227 227
1 228 228
1 229 229
1 230 230
1 231 231
1 232 232
1 233 233
1 234 234
1 235 235
1 236 236
1 237 237
1 238 238
1 239 239
1 240 240
1 241 241
1 242 242
1 243 243
1 244 244
1 245 245
1 246 246
1 247 247
1 248 248
1 249 249
1 250 250
1 251 251
1 252 0
1 253 1
1 254 2
1 255 3
1 256 4
2 3 6
2 4 8
2 5 10
2 6 12
2 7 14
2 8 16
2 9 18
2 10 20
2 11 22
2 12 24
2 13 26
2 14 28
2 15 30
2 16 32
2 17 34
2 18 36
2 19 38
2 20 40
2 21 42
2 22 44
2 23 46
2 24 48
2 25 50
2 26 52
2 27 54
2 28 56
2 29 58
2 30 60
2 31 62
2 32 64
2 33 66
2 34 68
2 35 70
2 36 72
2 37 74
2 38 76
2 39 78
2 40 80
2 41 82
2 42 84
2 43 86
2 44 88
2 45 90
2 46 92
2 47 94
2 48 96
2 49 98
2 50 100
2 51 102
2 52 104
2 53 106
2 54 108
2 55 110
2 56 112
2 57 114
2 58 116
2 59 118
2 60 120
2 61 122
2 62 124
2 63 126
2 64 128
2 65 130
2 66 132
2 67 134
2 68 136
2 69 138
2 70 140
2 71 142
2 72 144
2 73 146
2 74 148
2 75 150
2 76 152
2 77 154
2 78 156
2 79 158
2 80 160
2 81 162
2 82 164
2 83 166
2 84 168
2 85 170
2 86 172
2 87 174
2 88 176
2 89 178
2 90 180
2 91 182
2 92 184
2 93 186
2 94 188
2 95 190
2 96 192
2 97 194
2 98 196
2 99 198
2 100 200
2 101 202
2 102 204
2 103 206
2 104 208
2 105 210
2 106 212
2 107 214
2 108 216
2 109 218
2 110 220
2 111 222
2 112 224
2 113 226
2 114 228
2 115 230
2 116 232
2 117 234
2 118 236
2 119 238
2 120 240
2 121 242
2 122 244
2 123 246
2 124 248
2 125 250
2 126 0
2 127 2
2 128 4
2 129 6
2 130 8
2 131 10
2 132 12
2 133 14
2 134 16
2 135 18
2 136 20
2 137 22
2 138 24
2 139 26
2 140 28
2 141 30
2 142 32
2 143 34
2 144 36
2 145 38
2 146 40
2 147 42
2 148 44
2 149 46
2 150 48
2 151 50
2 152 52
2 153 54
2 154 56
2 155 58
2 156 60
2 157 62
2 158 64
2 159 66
2 160 68
2 161 70
2 162 72
2 163 74
2 164 76
2 165 78
2 166 80
2 167 82
2 168 84
2 169 86
2 170 88
2 171 90
2 172 92
2 173 94
2 174 96
2 175 98
2 176 100
2 177 102
2 178 104
2 179 106
2 180 108
2 181 110
2 182 112
2 183 114
2 184 116
2 185 118
2 186 120
2 187 122
2 188 124
2 189 126
2 190 128
2 191 130
2 192 132
2 193 134
2 194 136
2 195 138
2 196 140
2 197 142
2 198 144
2 199 146
2 200 148
2 201 150
2 202 152
2 203 154
2 204 156
2 205 158
2 206 160
2 207 162
2 208 164
2 209 166
2 210 168
2 211 170
2 212 172
2 213 174
2 214 176
2 215 178
2 216 180
2 217 182
2 218 184
2 219 186
2 220 188
2 221 190
2 222 192
2 223 194
2 224 196
2 225 198
2 226 200
2 227 202
2 228 204
2 229 206
2 230 208
2 231 210
2 232 212
2 233 214
2 234 216
2 235 218
2 236 220
2 237 222
2 238 224
2 239 226
2 240 228
2 241 230
2 242 232
2 243 234
2 244 236
2 245 238
2 246 240
2 247 242
2 248 244
2 249 246
2 250 248
2 251 250
2 252 0
2 253 2
2 254 4
2 255 6
2 256 8
3 4 12
3 5 15
3 6 18
3 7 21
3 8 24
3 9 27
3 10 30
3 11 33
